full_part_number,section,subsection,position_details
A09P1A4F,How to order,,"Pos1(): Fixed value | Pos2(A): Shell size A | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B09S1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B09SA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B09SA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B09SA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B09SA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B15P1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B15P1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B15P1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B15P1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B15P1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B15P1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B15P1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B15P1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B15PA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B15PA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B15PA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B15PA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B15S1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B15S1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B15S1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B15S1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B15S1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B15S1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B15S1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B15S1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B15SA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B15SA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B15SA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B15SA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B25P1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B25P1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B25P1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B25P1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B25P1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B25P1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B25P1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B25P1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B25PA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B25PA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B25PA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B25PA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B25S1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B25S1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B25S1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B25S1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B25S1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B25S1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B25S1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B25S1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B25SA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B25SA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B25SA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B25SA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(25): Configuration 25 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B37P1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B37P1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B37P1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B37P1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B37P1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B37P1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B37P1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B37P1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B37PA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B37PA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B37PA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B37PA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
B37S1A4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B37S1A3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B37S1A4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B37S1A3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B37S1B4F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
B37S1B3F,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
B37S1B4R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
B37S1B3R,How to order,,"Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
B37SA44F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
B37SA43F,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
B37SA44R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
B37SA43R,How to order,,Pos1(): Fixed value | Pos2(B): Shell size B | Pos3(37): Configuration 37 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
C09P1A4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C09P1A3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C09P1A4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C09P1A3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C09P1B4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C09P1B3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C09P1B4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C09P1B3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C09PA44F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
C09PA43F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
C09PA44R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
C09PA43R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
C09S1A4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C09S1A3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C09S1A4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C09S1A3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C09S1B4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C09S1B3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C09S1B4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C09S1B3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C09SA44F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
C09SA43F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
C09SA44R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
C09SA43R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(09): Configuration 09 | Pos4(S): Socket | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
C15P1A4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C15P1A3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C15P1A4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C15P1A3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C15P1B4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C15P1B3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
C15P1B4R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value"
C15P1B3R,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(1B): European (10.3mm, 2.84mm pitch) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value"
C15PA44F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value
C15PA43F,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value
C15PA44R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(4R): Rear insert 4-40 | Pos7(): Fixed value
C15PA43R,How to order,,Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(P): Plug | Pos5(A4): MIL (0.88mm) | Pos6(3R): Rear insert M3 | Pos7(): Fixed value
C15S1A4F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(4F): Front screwlock 4-40 | Pos7(): Fixed value"
C15S1A3F,How to order,,"Pos1(): Fixed value | Pos2(C): Shell size C | Pos3(15): Configuration 15 | Pos4(S): Socket | Pos5(1A): European (10.3mm, 2.54mm pitch) | Pos6(3F): Front screwlock M3 | Pos7(): Fixed value"
